Batch,CURRENT,PRES_DISCHARGE,FREQUENCY,PRES_INTAKE,TEMP_INTAKE,TEMP_MOTOR_PUMP,VIBRATION,Failure
140,31.38785584,115.2003998,60.01994241,84.0056989,101.6476416,210.5224814,0.26,0
141,27.98138893,112.2455426,60.88133693,78.07623371,162.1896784,213.9053139,0.41,0
142,22.99800618,110.9968121,59.39660463,79.44888527,176.3887798,212.8969568,0.44,0
143,19.08627383,112.3372293,59.51240354,84.91461787,112.8206165,213.3917929,0.45,0
144,20.8933943,90.96783647,58.8485996,85.42823529,98.26732134,215.6928135,0.48,0
145,20.80378719,89.47602173,59.2054902,83.70237741,125.4623626,216.9450286,0.59,0
146,25.14729364,89.71063266,59.04496564,80.52639133,118.5286419,218.6579942,0.6,0
147,23.13026509,92.13652692,60.80919651,79.40440832,109.9106494,214.6462061,0.66,0
148,25.419341,89.19319544,62.08786442,77.69914787,124.1758824,214.4234319,0.69,0
149,27.30005958,81.86540807,62.87837945,76.74274569,108.0884896,212.7067731,0.71,0
150,23.96930886,72.50675696,62.7205635,74.00225422,111.0193202,225.1497853,0.85,0
151,25.24227352,59.68317895,65.6740973,73.87078768,121.924052,219.5275723,0.89,0
152,17.23172396,68.72418676,63.09532101,73.21361153,128.1383953,221.7418583,0.94,0
153,18.48156863,78.46570916,60.25526889,76.6220972,126.0393192,220.5721165,0.97,0
154,18.16886505,67.45080388,60.83177599,72.25246512,120.8740632,222.1694689,1.02,0
155,22.170686,77.62699106,59.42313388,71.04127444,116.5402499,225.7382601,1.063300833,1
156,31.44562197,61.97591053,59.27546251,70.41469511,110.5345435,237.866731,1.307502971,1
157,22.94814904,55.36464301,63.00643189,70.26574832,103.0265167,230.4793017,0.157496234,1
158,27.15815338,66.44286775,59.2054902,75.42823529,117.981299,223.1227647,2.356069027,1
159,23.9711777,63.72340407,65.1233931,72.42220981,104.9190098,225.1563904,3.094646085,1
160,31.01879617,72.13268809,65.06600528,69.67846254,144.7486196,228.3002524,1.586686052,1
161,29.96154498,42.79281087,65.35864356,84.31779079,120.0154874,229.6820474,1.344222528,1
162,20.26507067,71.10169832,64.95325498,80.42172264,140.6257726,218.5183726,2.941797595,1
163,30.06386101,63.22255144,59.2054902,73.2061687,146.5503217,223.1711132,1.186319006,1
164,27.57263075,98.58454262,64.22035214,67.88623471,176.5030513,222.0173676,2.150024099,1
165,27.58450683,78.58542845,60.91771317,72.58329967,137.5334035,221.5024353,1.785798662,1
166,26.62682582,53.74855811,56.29297449,68.59040408,174.1498985,223.5938348,2.049419887,1
167,24.98420454,67.79220244,58.43926834,59.04853002,151.9305336,226.1227647,1.258821263,1
168,22.65373031,63.01951978,57.72868512,61.1045319,124.1758824,223.0971899,1.301230422,1
